issue,category,category_description,comment_count,comment_likes_count,comment_replies_count,comment_shares_count,likes_per_comment
Benefits,Advice and Practical Guidance.Accessing Supplementary Support and Local Schemes,"Advice on how to tap into extra forms of assistance—such as local council grants, housing funds, or emergency schemes—to supplement standard benefit payments.",62,87,37,0,1.403225806
Benefits,Advice and Practical Guidance.Navigating Applications and Eligibility,"Guidance providing practical tips on completing benefit applications, understanding eligibility criteria, and handling bureaucratic hurdles.",45,49,21,0,1.088888889
Benefits,Bureaucratic and Systemic Barriers.Application Process Frustrations,"Accounts describing complex paperwork, confusing online systems, and systemic inefficiencies encountered when applying for or renewing benefits.",20,18,8,0,0.9
Benefits,"Bureaucratic and Systemic Barriers.Delays, Errors, and Overpayment Issues","Experiences highlighting prolonged processing times, unexpected payment delays, or issues with overpayments and subsequent recovery demands.",20,21,14,0,1.05
Benefits,Community Support and Mutual Aid.Charitable Initiatives and Local Responses,"Descriptions of community-run programs, food banks, clothing drives, and volunteer efforts that help bridge the gap left by formal benefits.",283,278,105,0,0.9823321555
Benefits,"Community Support and Mutual Aid.Housing, Employment, and Job Support","Conversations about local efforts to provide affordable housing, job opportunities, and employment resources for benefit recipients.",17,23,2,0,1.352941176
Benefits,"Economic Hardship and Cost of Living Impact.Affordability, Rent, and Wage Comparisons","Comments that highlight the disparity between benefit amounts, wage levels, and rising housing costs, questioning the overall adequacy of benefits.",27,37,13,0,1.37037037
Benefits,Economic Hardship and Cost of Living Impact.Rising Costs and Utility Struggles,"Narratives addressing the increased burdens of energy bills, food prices, and other essential living costs on those relying on benefits.",6,9,2,0,1.5
Benefits,Personal Experiences and Emotional Impact.Emotional Vulnerability and Wellbeing,"Narratives that focus on the mental health, trauma, and social isolation resulting from financial insecurity and the stigmatization of benefit dependence.",4,1,0,0,0.25
Benefits,Personal Experiences and Emotional Impact.Lived Experiences and Personal Struggles,"Personal stories that detail the practical and emotional hardships of living on benefits, including challenges with housing, employment, and daily survival.",25,18,11,0,0.72
Benefits,Political and Policy Discourse.Political Party and Policy Criticism,"Discussions that link benefits to political ideologies, critiquing political parties and candidates for their management of social support and welfare policies.",32,90,34,0,2.8125
Benefits,Political and Policy Discourse.Systemic Policy and Economic Debates,"Debates focused on wider economic issues like taxation, wage stagnation, and cost of living pressures, arguing about the adequacy and sustainability of the benefits system.",30,120,11,0,4
Benefits,Social Attitudes and Stigma.Fraud and Abuse Accusations,"Comments that label benefit recipients as fraudsters or abusers of state support, using aggressive language and generalizations to undermine the legitimacy of claims.",31,52,11,0,1.677419355
Benefits,Social Attitudes and Stigma.Moral Critique and Entitlement Stigma,"Remarks that criticize perceived laziness or excessive entitlement among people on benefits, often framing their reliance as a moral failing.",117,291,103,0,2.487179487
Benefits,Uncategorised.Not enough information,,7,6,1,0,0.8571428571
Businesses,Business Operations & Changes.Business Transitions,"Observations and commentary on closures, rebranding, redevelopments, or shifts in business models.",1184,1455,572,0,1.228885135
Businesses,Business Operations & Changes.Urban Planning & Governance,"Critiques of council decisions, planning permissions, and public redevelopment projects that directly affect local commerce.",1456,3389,895,0,2.32760989
Businesses,Community & Local Identity.Local Support & Advocacy,Calls for supporting independent businesses and preserving community character in the face of corporate and planning changes.,2823,6474,1099,0,2.293304995
Businesses,Community & Local Identity.Nostalgia & Heritage,Expressions of fond recollections and historical reflections regarding long‐standing local shops and markets.,1829,3119,869,0,1.705303445
Businesses,Customer Reviews.Negative Reviews,"Feedback expressing dissatisfaction, complaints about poor service, low product quality, or problematic experiences.",1373,2622,598,0,1.909686817
Businesses,Customer Reviews.Positive Reviews,"Comments praising product quality, service, ambiance, and overall satisfying experiences at businesses.",701,893,162,0,1.273894437
Businesses,Employment & Networking.Business Advertising & Self-Promotion,"Content in which businesses or individuals promote their services, network, or advertise products to attract customers.",310,207,66,0,0.6677419355
Businesses,Employment & Networking.Job & Recruitment Announcements,"Posts about job vacancies, recruitment opportunities, and employment challenges within local businesses.",468,382,143,0,0.8162393162
Businesses,Pricing & Payment Critiques.Payment System Issues,"Discussions of problems with cashless methods, hidden fees, pre‐authorisation holds, or other payment-related glitches.",293,673,203,0,2.296928328
Businesses,Pricing & Payment Critiques.Pricing Complaints,"Remarks about high prices, overcharging, or perceptions of poor value for money.",598,1554,299,0,2.598662207
Businesses,Technology & Retail Automation.Online Ordering & Delivery Issues,"Feedback on digital ordering platforms, app glitches, or delivery problems that affect the purchasing experience.",23,10,12,0,0.4347826087
Businesses,Technology & Retail Automation.Self-Service & Automation Critiques,Observations and complaints regarding the replacement of personal service by automated systems like self-checkouts and digital kiosks.,205,547,118,0,2.668292683
Businesses,"Transportation, Parking & Infrastructure.Fuel & Vehicle Service Complaints","Discussions about issues at petrol stations, including high fuel prices, poor service, or vehicle maintenance concerns.",94,119,75,0,1.265957447
Businesses,"Transportation, Parking & Infrastructure.Parking & Traffic Enforcement","Comments on confusing parking rules, fines, and road or traffic disruptions (including issues with traffic lights and roadworks) that impact access and local commerce.",769,1590,420,0,2.067620286
Businesses,"Trust, Fraud & Service Failures.Scam and Fraud Warnings","Alerts about potential scams, dishonest contractors, or deceptive business practices targeting customers.",399,554,198,0,1.388471178
Businesses,"Trust, Fraud & Service Failures.Service Delivery Failures","Complaints about unreliable deliveries, poor workmanship, or substandard customer service and product quality.",479,977,316,0,2.039665971
Businesses,Uncategorised.Not enough information,,242,153,63,0,0.632231405
Childcare and family,Child Health and Medical Services.Healthcare Access and Child Medical Services,"Focuses on struggles accessing timely and adequate healthcare for children—including long wait times, delayed diagnoses (e.g., for autism or chronic conditions), and related frustrations.",145,168,100,0,1.15862069
